term,frequency,rank
effect,184,1321
reaction,184,1322
caliber,183,1323
requiring,183,1324
best,183,1325
changed,183,1326
umbilical,182,1327
stimulation,182,1328
planned,182,1329
swallowing,182,1330
identify,182,1331
lasix,182,1332
cement,182,1333
padded,181,1334
careful,181,1335
occasionally,181,1336
ovary,181,1337
femur,181,1338
orbital,181,1339
pericardial,180,1340
pocket,180,1341
removing,180,1342
complains,180,1343
debridement,180,1344
outside,179,1345
organomegaly,179,1346
cauterized,179,1347
image,179,1348
cystoscopy,179,1349
fascial,179,1350
ports,179,1351
fossa,179,1352
injuries,179,1353
tested,179,1354
vehicle,179,1355
interspace,179,1356
chloride,179,1357
drink,178,1358
flank,178,1359
cold,178,1360
gallops,178,1361
testis,178,1362
fully,178,1363
appendectomy,178,1364
adjacent,178,1365
hepatosplenomegaly,178,1366
adrenal,178,1367
jugular,178,1368
provide,177,1369
doctor,177,1370
holding,177,1371
hyperlipidemia,177,1372
probe,177,1373
rongeur,177,1374
tibia,177,1375
plaque,177,1376
cholesterol,176,1377
encountered,176,1378
symmetrical,176,1379
worked,175,1380
wheezes,175,1381
benefit,175,1382
water,175,1383
prepared,175,1384
anesthetized,175,1385
constipation,175,1386
moved,175,1387
feeding,175,1388
guidance,175,1389
drops,175,1390
finally,175,1391
prolonged,175,1392
dizziness,175,1393
called,175,1394
tachycardia,175,1395
sinuses,175,1396
cognitive,174,1397
failed,174,1398
retractors,174,1399
preoperatively,173,1400
spleen,173,1401
abnormality,173,1402
showing,173,1403
requested,173,1404
fine,173,1405
pump,173,1406
urinalysis,173,1407
tablet,173,1408
bandage,173,1409
evening,173,1410
angioplasty,173,1411
lost,172,1412
dysuria,172,1413
verified,172,1414
percussion,172,1415
established,172,1416
consider,172,1417
hardware,172,1418
enlargement,171,1419
maximum,171,1420
located,171,1421
already,171,1422
mucous,171,1423
hemostatic,171,1424
keep,171,1425
prone,171,1426
intraocular,171,1427
axial,171,1428
bronchoscope,171,1429
osteoarthritis,170,1430
parietal,170,1431
know,170,1432
immediate,170,1433
constitutional,170,1434
hard,170,1435
iron,170,1436
reflex,170,1437
origin,169,1438
hemostat,169,1439
fourth,169,1440
birth,169,1441
safety,169,1442
series,168,1443
experienced,168,1444
elected,168,1445
stitches,168,1446
accomplished,168,1447
vena,168,1448
auditory,168,1449
patellar,168,1450
fractures,168,1451
neural,168,1452
reconstruction,167,1453
frequent,167,1454
seconds,167,1455
scale,167,1456
lithotomy,167,1457
moderately,167,1458
permanent,167,1459
conjunctivae,167,1460
tender,167,1461
patch,167,1462
conservative,167,1463
perforation,167,1464
thrombosis,166,1465
obese,166,1466
analysis,166,1467
december,166,1468
underneath,166,1469
tablets,166,1470
records,166,1471
labs,165,1472
reportedly,165,1473
occlusion,164,1474
difficulties,164,1475
saphenous,164,1476
syncope,164,1477
cortical,164,1478
contents,163,1479
genitalia,163,1480
prophylaxis,163,1481
transfer,163,1482
rotated,163,1483
injections,163,1484
cava,163,1485
require,162,1486
hepatitis,162,1487
irregular,162,1488
repaired,162,1489
bodies,162,1490
specific,162,1491
entry,162,1492
heard,162,1493
come,161,1494
veress,161,1495
observed,161,1496
arms,161,1497
thus,161,1498
platelets,161,1499
despite,161,1500
fentanyl,161,1501
refill,161,1502
dementia,161,1503
might,160,1504
cigarettes,160,1505
impacted,160,1506
flaps,160,1507
drawn,160,1508
smooth,160,1509
hallux,160,1510
collateral,160,1511
ovarian,160,1512
stab,159,1513
primarily,159,1514
relatively,159,1515
conduction,159,1516
band,158,1517
preserved,158,1518
sweats,158,1519
compartment,158,1520
esmarch,158,1521
